date,open,high,low,close,volume
2022-07-18,6733.9,6780.7,6726.2,6773.55,0
2022-07-19,6743.3,6812.1,6732.3,6802.5,0
2022-07-20,6869.1,6894.2,6832.35,6852.4,0
2022-07-21,6847.65,6939.25,6837.25,6927.0,0
2022-07-22,6957.6,6988.15,6919.4,6942.55,0
2022-07-25,6940.65,6955.5,6898.85,6935.1,0
2022-07-26,6939.65,6939.75,6812.25,6821.2,0
2022-07-27,6807.6,6892.4,6782.1,6885.0,0
2022-07-28,6930.4,6967.55,6886.35,6948.6,0
2022-07-29,7009.45,7067.5,6986.55,7055.6,0
2022-08-01,7090.25,7201.85,7068.85,7193.2,0
2022-08-02,7193.9,7223.9,7145.2,7211.0,0
2022-08-03,7198.2,7215.9,7083.3,7135.9,0
2022-08-04,7180.85,7223.05,7058.4,7182.2,0
2022-08-05,7205.5,7212.75,7145.95,7173.4,0
2022-08-08,7172.6,7242.2,7153.55,7231.1,0
2022-08-10,7237.3,7252.3,7173.1,7219.1,0
2022-08-11,7286.05,7325.6,7263.65,7286.95,0
2022-08-12,7315.7,7345.6,7285.5,7313.45,0
2022-08-16,7356.05,7398.3,7343.55,7385.9,0
2022-08-17,7419.1,7471.45,7411.7,7455.2,0
2022-08-18,7458.7,7507.85,7434.75,7480.9,0
2022-08-19,7502.65,7521.05,7364.95,7392.9,0
2022-08-22,7368.75,7368.75,7229.95,7241.85,0
2022-08-23,7177.5,7354.8,7167.1,7334.55,0
2022-08-24,7337.5,7373.5,7288.5,7355.65,0
2022-08-25,7396.2,7419.05,7321.55,7335.95,0
2022-08-26,7385.45,7435.05,7349.7,7366.55,0
2022-08-29,7157.4,7276.9,7156.65,7267.75,0
2022-08-30,7324.5,7412.5,7317.4,7406.8,0
2022-09-01,7367.3,7453.95,7348.65,7427.0,0
2022-09-02,7468.45,7499.7,7417.45,7426.85,0
2022-09-05,7455.6,7479.95,7445.25,7467.5,0
2022-09-06,7498.5,7519.25,7466.6,7480.65,0
2022-09-07,7460.3,7540.1,7449.35,7534.55,0
2022-09-08,7594.75,7606.7,7539.75,7551.05,0
2022-09-09,7595.65,7613.3,7538.4,7585.7,0
2022-09-12,7619.95,7675.3,7605.7,7669.15,0
2022-09-13,7711.4,7722.0,7662.15,7668.6,0
2022-09-14,7563.05,7645.05,7551.15,7619.0,0
2022-09-15,7669.05,7681.5,7588.2,7648.15,0
2022-09-16,7643.55,7657.8,7341.05,7405.7,0
2022-09-19,7432.55,7445.65,7336.35,7388.75,0
2022-09-20,7440.15,7554.3,7437.85,7497.3,0
2022-09-21,7502.0,7550.55,7430.05,7456.75,0
2022-09-22,7429.65,7518.25,7405.25,7492.6,0
2022-09-23,7505.0,7524.55,7288.8,7303.2,0
2022-09-26,7246.15,7251.6,7003.45,7082.4,0
2022-09-27,7125.0,7150.55,6996.5,7072.0,0
2022-09-28,7027.05,7125.15,7012.55,7042.2,0
2022-09-29,7110.75,7140.1,7010.2,7068.65,0
2022-09-30,7070.05,7222.95,6996.3,7205.1,0
2022-10-03,7212.85,7222.15,7064.15,7095.7,0
2022-10-04,7216.3,7334.0,7206.05,7323.35,0
2022-10-06,7393.8,7478.35,7389.2,7435.25,0
2022-10-07,7438.25,7452.1,7345.7,7408.2,0
2022-10-10,7311.1,7358.0,7276.0,7331.75,0
2022-10-11,7357.15,7360.15,7194.55,7217.55,0
2022-10-12,7238.55,7285.7,7165.05,7271.35,0
2022-10-13,7277.95,7288.2,7166.8,7203.95,0
2022-10-14,7324.7,7325.75,7183.9,7191.85,0
2022-10-17,7179.7,7248.55,7116.35,7238.65,0
2022-10-18,7308.1,7351.6,7286.35,7344.65,0
2022-10-19,7359.2,7381.65,7333.55,7370.65,0
2022-10-20,7335.9,7338.95,7275.6,7318.7,0
2022-10-21,7340.3,7373.4,7235.4,7251.4,0
2022-10-24,7340.25,7340.5,7268.75,7279.95,0
2022-10-25,7301.45,7305.65,7228.0,7286.7,0
2022-10-27,7321.7,7349.4,7289.45,7334.75,0
2022-10-28,7350.1,7363.3,7265.45,7287.1,0
2022-10-31,7321.7,7421.95,7318.2,7416.1,0
2022-11-01,7444.65,7504.8,7436.75,7495.05,0
2022-11-02,7500.25,7528.0,7475.25,7489.05,0
2022-11-03,7451.6,7515.65,7441.1,7487.65,0
2022-11-04,7494.3,7512.7,7424.6,7445.95,0
2022-11-07,7479.75,7522.3,7448.35,7515.8,0
2022-11-09,7524.3,7528.65,7414.55,7427.8,0
2022-11-10,7414.05,7414.05,7310.4,7341.05,0
2022-11-11,7432.65,7473.7,7305.2,7331.6,0
2022-11-14,7331.1,7339.85,7267.8,7324.45,0
2022-11-15,7318.9,7337.0,7288.15,7320.95,0
2022-11-16,7322.5,7335.65,7224.6,7255.5,0
2022-11-17,7243.35,7253.4,7205.45,7234.75,0
2022-11-18,7256.25,7264.4,7139.15,7184.05,0
2022-11-21,7176.25,7192.25,7144.95,7173.15,0
2022-11-22,7182.7,7237.2,7178.8,7230.15,0
2022-11-23,7263.65,7273.8,7235.35,7250.9,0
2022-11-24,7278.3,7288.85,7251.5,7279.9,0
2022-11-25,7295.9,7348.15,7286.6,7337.05,0
2022-11-28,7325.7,7390.35,7321.5,7376.05,0
2022-11-29,7372.4,7381.05,7292.2,7304.2,0
2022-11-30,7311.7,7416.75,7310.25,7396.5,0
2022-12-01,7425.6,7466.95,7388.75,7448.35,0
2022-12-02,7447.65,7495.9,7431.1,7491.1,0
2022-12-05,7506.25,7510.45,7443.3,7483.9,0
2022-12-06,7466.3,7472.75,7434.45,7457.05,0
2022-12-07,7467.2,7487.45,7402.95,7411.05,0
2022-12-08,7431.95,7442.95,7399.5,7432.55,0
