date,open,high,low,close,volume,Daily Expected Movement,Expected Day High,Expected Day Low
2017-07-17,9910.2,9910.2,9901.45,9907.65,0,0.5783834344621862,9967.518955122072,9852.88104487793
2017-07-18,9862.0,9871.3,9862.0,9871.3,0,0.6066483262820577,9921.827657937936,9802.172342062064
2017-07-19,9858.2,9862.3,9856.45,9860.55,0,0.6061249023594675,9917.953005124402,9798.4469948756
2017-07-20,9919.65,9919.75,9916.4,9916.5,0,0.5919924564495318,9978.373579706196,9860.926420293803
2017-07-21,9883.0,9886.0,9883.0,9883.7,0,0.595132999985073,9941.816994388524,9824.183005611476
2017-07-24,9930.8,9931.6,9924.35,9931.05,0,0.5982735435206142,9990.213349059944,9871.386650940054
2017-07-25,9989.4,9989.4,9983.75,9983.75,0,0.5998438152883849,10049.320798084418,9929.479201915581
2017-07-26,9973.95,9983.35,9973.95,9983.35,0,0.5898987607591708,10032.78620744874,9915.113792551261
2017-07-27,10067.0,10078.8,10066.95,10078.8,0,0.6186870765016327,10129.28322799142,10004.71677200858
2017-07-28,9973.55,9983.3,9973.55,9973.9,0,0.6061249023594675,10034.002170199272,9913.097829800727
2017-07-31,10040.0,10046.55,10040.05,10046.5,0,0.6103122937401892,10101.275354291514,9978.724645708486
2017-08-01,10090.3,10090.75,10087.5,10090.8,0,0.634389794179339,10154.311833402076,10026.288166597922
2017-08-02,10113.7,10117.1,10113.7,10115.7,0,0.6296789788760271,10177.383842886586,10050.016157113416
2017-08-03,10063.0,10062.95,10050.05,10052.3,0,0.6396240334052412,10127.36536648157,9998.63463351843
2017-08-04,9993.25,10003.75,9993.25,10003.8,0,0.6139762611983207,10054.606182722202,9931.893817277798
2017-08-07,10083.0,10082.95,10079.35,10082.0,0,0.6202573482694033,10145.540548426005,10020.459451573995
2017-08-08,10076.8,10083.55,10075.25,10075.2,0,0.6207807721919935,10139.354836852242,10014.245163147756
2017-08-09,9944.25,9944.25,9930.85,9936.0,0,0.6883024582061311,10012.696517200164,9875.803482799836
2017-08-10,9861.1,9875.5,9861.1,9875.5,0,0.7197078935615439,9932.071115091998,9790.128884908003
2017-08-11,9722.9,9734.8,9722.9,9731.55,0,0.7788547968142381,9798.62727303945,9647.172726960549
2017-08-14,9766.85,9769.25,9759.15,9759.15,0,0.7579178399106296,9840.874698547312,9692.825301452689
2017-08-16,9817.5,9824.05,9817.5,9824.05,0,0.7479727853814154,9890.93222820482,9744.06777179518
2017-08-17,9912.65,9914.25,9905.75,9914.25,0,0.7589646877558099,9987.883513120825,9837.416486879174
2017-08-18,9833.45,9851.35,9833.45,9851.35,0,0.7521601767621371,9907.413294901817,9759.486705098185
2017-08-21,9864.0,9874.45,9855.85,9874.15,0,0.754253872452498,9938.399601978714,9789.600398021286
2017-08-22,9805.15,9828.35,9805.15,9820.4,0,0.7532070246073176,9879.003078573283,9731.296921426716
2017-08-23,9797.65,9806.6,9794.8,9801.25,0,0.7327934916262993,9869.446541532323,9725.853458467676
2017-08-24,9860.15,9868.9,9855.5,9855.5,0,0.6909195778190821,9928.275706752327,9792.024293247672
2017-08-28,9889.45,9894.7,9887.8,9891.65,0,0.6773105558317365,9956.432288763703,9822.467711236299
2017-08-29,9867.85,9874.45,9861.6,9869.8,0,0.6804510993672779,9934.995893808915,9800.704106191086
2017-08-30,9862.4,9871.1,9861.2,9861.35,0,0.6757402840639659,9929.044209775524,9795.755790224475
2017-08-31,9879.4,9891.0,9878.35,9884.15,0,0.6673655013025225,9945.331707335681,9813.468292664318
2017-09-01,9915.45,9931.6,9915.45,9931.15,0,0.6333429463341586,9978.248803172291,9852.65119682771
2017-09-04,9961.65,9969.3,9959.8,9959.8,0,0.6595141424636692,10027.348490572731,9895.951509427268
2017-09-05,9915.4,9924.35,9913.0,9920.6,0,0.6909195778190821,9983.907439819073,9846.892560180926
2017-09-06,9897.8,9902.6,9890.3,9898.35,0,0.702958328038657,9967.37740939261,9828.222590607389
2017-09-07,9956.5,9964.5,9955.9,9961.45,0,0.6663186534573421,10022.84201673148,9890.15798326852
2017-09-08,9953.3,9960.0,9952.35,9959.25,0,0.6668420773799323,10019.672792487856,9886.927207512143
2017-09-11,9988.55,9988.55,9981.15,9982.3,0,0.6579438706958987,10054.269052496395,9922.830947503604
2017-09-12,10035.8,10042.45,10034.65,10039.9,0,0.6239213157275347,10098.415495403784,9973.184504596215
2017-09-13,10093.1,10096.15,10086.4,10096.1,0,0.6150231090435011,10155.17489741887,10031.02510258113
2017-09-14,10109.6,10114.25,10105.45,10111.3,0,0.6003672392109752,10170.294726415274,10048.905273584727
2017-09-15,10075.0,10081.8,10071.2,10076.5,0,0.6155465329660913,10137.016313196335,10012.983686803665
2017-09-18,10153.7,10159.8,10150.5,10155.6,0,0.6040312066691066,10215.031516631561,10092.36848336844
2017-09-19,10154.2,10157.5,10142.25,10145.3,0,0.5888519129139904,10213.993200941113,10094.406799058888
2017-09-20,10158.2,10160.2,10151.9,10156.0,0,0.5993203913657947,10219.08016399572,10097.31983600428
2017-09-21,10153.5,10154.65,10146.35,10146.9,0,0.6087420219724187,10215.30862120097,10091.69137879903
2017-09-22,10057.8,10061.5,10047.6,10055.0,0,0.6281087071082565,10120.973917543533,9994.626082456465
2017-09-25,9923.2,9923.85,9899.0,9899.0,0,0.6877790342835409,9991.449689130026,9854.950310869976
2017-09-26,9884.35,9884.55,9855.65,9855.85,0,0.7092394151097396,9954.4537061274,9814.2462938726
2017-09-27,9885.5,9893.15,9882.8,9886.4,0,0.6705060448380639,9951.782875062467,9819.217124937533
2017-09-28,9728.05,9732.7,9717.75,9717.75,0,0.7223250131744949,9798.318138444121,9657.781861555877
2017-09-29,9807.3,9819.15,9805.85,9809.05,0,0.6678889252251127,9872.801870563602,9741.798129436396
2017-10-03,9860.6,9866.3,9848.25,9848.5,0,0.653756479315177,9925.064311399352,9796.135688600649
